license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,company_name_clean,company_dba_clean,search_name
GBL-0224-27805,Smart and Smart Inc,Boost Mobile Kroger,Retail Trade,2025-01-27 10:38:04.000,453998.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,,2685,METROPOLITAN,PKWY,SW,Ste 6,Atlanta,GA,30315,2685 METROPOLITAN PKWY Atlanta GA 30315,"2685 Metropolitan Pkwy SW, Atlanta, Georgia, 30315",-84.409021094632,33.682657416762,True,12,X,smart and smart inc,boost mobile kroger,smart and smart inc boost mobile kroger
GBL-0323-19981,"Publix Super Markets, Inc.","Publix Super Markets, Inc. #1825",Retail Trade,2025-01-16 17:18:38.263,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,572 Hank Aaron,,DR,SE,,Atlanta,GA,303122896,572 Hank Aaron nan DR Atlanta GA 303122896,"572 Hank Aaron Dr SE, Atlanta, Georgia, 30312",-84.387062184693,33.738851036755,False,1,V,"publix super markets, inc.","publix super markets, inc. #1825","publix super markets, inc. publix super markets, inc. #1825"
GBL-0724-31960,"Publix Super Markets, Inc.","Publix Super Markets, Inc. #1867",Retail Trade,2025-01-21 15:31:53.000,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,3330 Piedmont,,RD,NE,Suite 16,Atlanta,GA,30305,3330 Piedmont nan RD Atlanta GA 30305,"3330 Piedmont Rd NE, Atlanta, Georgia, 30305",-84.373972166504,33.846150251965,False,7,B,"publix super markets, inc.","publix super markets, inc. #1867","publix super markets, inc. publix super markets, inc. #1867"
LGB-000184-2020,THE KROGER COMPANY,KROGER STORE #412,Retail Trade,2025-02-12 11:05:28.560,424410.0,General Line Grocery Merchant Wholesalers ,,590,CASCADE,AVE,SW,,ATLANTA,GA,30310,590 CASCADE AVE ATLANTA GA 30310,"590 Cascade Ave SW, Atlanta, Georgia, 30310",-84.433011023529,33.737542998855,False,4,T,the kroger company,kroger store #412,the kroger company kroger store #412
LGB-000444-2020,THE KROGER COMPANY,KROGER STORE #462,Retail Trade,2025-02-12 11:05:50.530,424410.0,General Line Grocery Merchant Wholesalers ,,3030,HEADLAND,DR,SW,,ATLANTA,GA,30331,3030 HEADLAND DR ATLANTA GA 30331,"3030 Headland Dr, Atlanta, Georgia, 30311",-84.487752584649,33.689511168911,True,11,R,the kroger company,kroger store #462,the kroger company kroger store #462
LGB-006143-2020,The Kroger Company,KROGER #298,Retail Trade,2025-02-11 22:03:52.170,424410.0,General Line Grocery Merchant Wholesalers ,,1700,MONROE,DR,NE,,ATLANTA,GA,30309,1700 MONROE DR ATLANTA GA 30309,"1700 Monroe Dr NE, Atlanta, Georgia, 30324",-84.373057281772,33.800527888257,False,6,F,the kroger company,kroger #298,the kroger company kroger #298
LGB-008106-2020,THE KROGER COMPANY,KROGER STORE #346,Retail Trade,2025-02-11 22:08:05.240,424410.0,General Line Grocery Merchant Wholesalers ,,1715,HOWELL MILL,RD,NW,,ATLANTA,GA,30318,1715 HOWELL MILL RD ATLANTA GA 30318,"1715 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.414335137426,33.801154980343,False,9,D,the kroger company,kroger store #346,the kroger company kroger store #346
LGB-010429-2020,THE KROGER COMPANY,KROGER STORE #364,Retail Trade,2025-02-12 11:09:16.570,424410.0,General Line Grocery Merchant Wholesalers ,,2685,METROPOLITAN,PKWY,SW,,ATLANTA,GA,30315,2685 METROPOLITAN PKWY ATLANTA GA 30315,"2685 Metropolitan Pkwy SW, Atlanta, Georgia, 30315",-84.409021094632,33.682657416762,True,12,X,the kroger company,kroger store #364,the kroger company kroger store #364
LGB-040972-2020,PUBLIX SUPER MARKETS #282,,Retail Trade,2025-01-16 15:15:15.047,424410.0,General Line Grocery Merchant Wholesalers ,,2900,PEACHTREE,RD,NW,,ATLANTA,GA,30305,2900 PEACHTREE RD ATLANTA GA 30305,"2900 Peachtree Rd NW, Atlanta, Georgia, 30305",-84.383838001817,33.834614448172,False,8,B,publix super markets #282,,publix super markets #282 
LGB-063322-2020,PUBLIX SUPER MARKETS #599,,Retail Trade,2025-01-16 16:20:36.350,424410.0,General Line Grocery Merchant Wholesalers ,,1544,PIEDMONT,RD,NE,,ATLANTA,GA,30324,1544 PIEDMONT RD ATLANTA GA 30324,"1544 Piedmont Ave NE, Atlanta, Georgia, 30324",-84.371269757101,33.798189504909,False,6,F,publix super markets #599,,publix super markets #599 
LGB-079895-2020,PUBLIX SUPER MARKETS #664,,Retail Trade,2025-01-16 15:18:20.523,424410.0,General Line Grocery Merchant Wholesalers ,,3535,PEACHTREE,RD,NE,,ATLANTA,GA,30326,3535 PEACHTREE RD ATLANTA GA 30326,"3535 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.359775737096,33.851013599826,False,7,B,publix super markets #664,,publix super markets #664 
LGB-082160-2020,"PUBLIX SUPER MARKETS, INC",PUBLIX SUPER MARKETS #719,Retail Trade,2025-01-16 17:09:00.717,424410.0,General Line Grocery Merchant Wholesalers ,,2365,PEACHTREE,RD,NE,,ATLANTA,GA,30305,2365 PEACHTREE RD ATLANTA GA 30305,"2365 Peachtree Rd NE, Atlanta, Georgia, 30305",-84.386877112271,33.819037770768,False,7,B,"publix super markets, inc",publix super markets #719,"publix super markets, inc publix super markets #719"
LGB-083252-2020,"PUBLIX SUPER MARKETS, INC.",PUBLIX SUPERMARKETS #718,Retail Trade,2025-01-16 17:17:16.687,424410.0,General Line Grocery Merchant Wholesalers ,,4279,ROSWELL,RD,NE,,ATLANTA,GA,30342,4279 ROSWELL RD ATLANTA GA 30342,"4279 Roswell Rd NE, Atlanta, Georgia, 30342",-84.379331387756,33.871123545743,False,7,B,"publix super markets, inc.",publix supermarkets #718,"publix super markets, inc. publix supermarkets #718"
LGB-088117-2020,PUBLIX SUPER MARKETS #724,,Retail Trade,2025-01-16 17:05:12.633,424410.0,General Line Grocery Merchant Wholesalers ,,1001,PONCE DE LEON,AVE,NE,,ATLANTA,GA,30306,1001 PONCE DE LEON AVE ATLANTA GA 30306,"1001 Ponce de Leon Ave NE, Atlanta, Georgia, 30306",-84.354268994347,33.773075017972,False,2,N,publix super markets #724,,publix super markets #724 
LGB-089356-2020,"PUBLIX SUPER MARKETS, #776",,Retail Trade,2025-01-16 17:19:04.483,424410.0,General Line Grocery Merchant Wholesalers ,,595,PIEDMONT,RD,NE,,ATLANTA,GA,30308,595 PIEDMONT RD ATLANTA GA 30308,"595 Piedmont Ave NE, Atlanta, Georgia, 30308",-84.381309936001,33.770431994354,False,2,M,"publix super markets, #776",,"publix super markets, #776 "
LGB-089800-2020,"PUBLIX SUPER MARKET, INC",PUBLIX SUPER MARKET #720,Retail Trade,2025-01-16 17:07:47.050,424410.0,General Line Grocery Merchant Wholesalers ,,1250,W PACES FERRY,RD,NW,,ATLANTA,GA,30327,1250 W PACES FERRY RD ATLANTA GA 30327,"1250 W Paces Ferry Rd NW, Atlanta, Georgia, 30327",-84.427910970723,33.848302012239,False,8,A,"publix super market, inc",publix super market #720,"publix super market, inc publix super market #720"
LGB-098916-2020,WHOLE FOODS MARKET,,Retail Trade,2025-02-11 13:08:10.800,424410.0,General Line Grocery Merchant Wholesalers ,,650,PONCE DE LEON,AVE,NE,,ATLANTA,GA,30308,650 PONCE DE LEON AVE ATLANTA GA 30308,"650 Ponce de Leon Ave NE, Atlanta, Georgia, 30308",-84.365855969659,33.774069991789,False,6,E,whole foods market,,whole foods market 
LGB-113506-2020,THE KROGER COMPANY,KROGER STORE #461,Retail Trade,2025-02-12 11:05:46.143,424410.0,General Line Grocery Merchant Wholesalers ,,1225,CAROLINE,ST,NE,,ATLANTA,GA,30307,1225 CAROLINE ST ATLANTA GA 30307,"1225 Caroline St NE, Atlanta, Georgia, 30307",-84.347951470105,33.756209748684,False,5,O,the kroger company,kroger store #461,the kroger company kroger store #461
LGB-117118-2020,PUBLIX SUPER MARKETS #1010,,Retail Trade,2025-01-16 17:10:37.303,424410.0,General Line Grocery Merchant Wholesalers ,,1380,ATLANTIC,DR,NW,STE 14135,ATLANTA,GA,30363,1380 ATLANTIC DR ATLANTA GA 30363,"1380 Atlantic Dr NW, Atlanta, Georgia, 30363",-84.397922029904,33.792878018596,False,3,E,publix super markets #1010,,publix super markets #1010 
LGB-117212-2020,"WHOLE FOODS  MARKET GROUP, INC",WHOLE FOODS MARKET,Retail Trade,2025-02-11 13:06:11.933,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,77,W PACES FERRY,RD,NW,STE A,ATLANTA,GA,30305,77 W PACES FERRY RD ATLANTA GA 30305,"77 W Paces Ferry Rd NW, Atlanta, Georgia, 30305",-84.381928604274,33.840638605804,False,8,B,"whole foods  market group, inc",whole foods market,"whole foods  market group, inc whole foods market"
LGB-119386-2020,"THE FRESH MARKET, INC.",THE FRESH MARKET,Retail Trade,2025-02-20 23:07:53.430,424410.0,General Line Grocery Merchant Wholesalers ,,2099,PEACHTREE,RD,NE,,ATLANTA,GA,30309,2099 PEACHTREE RD ATLANTA GA 30309,"2099 Peachtree Rd NE, Atlanta, Georgia, 30309",-84.39139948431,33.811976059252,False,7,E,"the fresh market, inc.",the fresh market,"the fresh market, inc. the fresh market"
LGB-121083-2020,"PUBLIX SUPER MARKETS, INC",PUBLIX SUPER MARKETS #1056,Retail Trade,2025-01-16 17:05:08.177,424410.0,General Line Grocery Merchant Wholesalers ,,3730,CARMIA,DR,SE,STE-200,ATLANTA,GA,30331,3730 CARMIA DR ATLANTA GA 30331,"3730 Carmia Dr SW, Atlanta, Georgia, 30331",-84.510763988137,33.656487480577,False,11,P,"publix super markets, inc",publix super markets #1056,"publix super markets, inc publix super markets #1056"
LGB-121732-2020,"PUBLIX SUPER MARKET, INC","PUBLIX SUPER MARKETS, INC #1061",Retail Trade,2025-01-16 17:18:53.237,424410.0,General Line Grocery Merchant Wholesalers ,,950,W PEACHTREE,ST,NW,,ATLANTA,GA,30309,950 W PEACHTREE ST ATLANTA GA 30309,"950 W Peachtree St NW, Atlanta, Georgia, 30309",-84.387614971207,33.78012101342,False,2,E,"publix super market, inc","publix super markets, inc #1061","publix super market, inc publix super markets, inc #1061"
LGB-121918-2020,"WAYFIELD FOODS, INC.",WAYFIELD FOODS  #19,Retail Trade,2025-01-14 13:09:26.490,424410.0,General Line Grocery Merchant Wholesalers ,,3050,MARTIN L KING JR,DR,SW,STE H,ATLANTA,GA,30311,3050 MARTIN L KING JR DR ATLANTA GA 30311,"3050 Martin Luther King Jr Dr SW, Atlanta, Georgia, 30311",-84.486470382887,33.75082810584,False,10,I,"wayfield foods, inc.",wayfield foods  #19,"wayfield foods, inc. wayfield foods  #19"
LGB-123075-2020,PUBLIX SUPER MARKETS #1044,,Retail Trade,2025-01-16 17:18:26.563,424410.0,General Line Grocery Merchant Wholesalers ,,2325,CHESHIRE BRIDGE,RD,NE,,ATLANTA,GA,30324,2325 CHESHIRE BRIDGE RD ATLANTA GA 30324,"2325 Cheshire Bridge Rd NE, Atlanta, Georgia, 30324",-84.352109899908,33.818997118538,False,6,F,publix super markets #1044,,publix super markets #1044 
LGB-126716-2020,TRADER JOE'S  EAST INC,TRADER JOE'S #730,Retail Trade,2025-02-06 12:05:24.750,424410.0,General Line Grocery Merchant Wholesalers ,,931,MONROE,DR,NE,STE B-114,ATLANTA,GA,30308,931 MONROE DR ATLANTA GA 30308,"931 Monroe Dr NE, Atlanta, Georgia, 30308",-84.367504773833,33.779619943248,False,6,E,trader joe's  east inc,trader joe's #730,trader joe's  east inc trader joe's #730
LGB-129170-2020,PUBLIX SUPER MARKETS INC #1119,,Retail Trade,2025-01-16 17:12:52.263,424410.0,General Line Grocery Merchant Wholesalers ,,2020,HOWELL MILL,RD,NW,,ATLANTA,GA,30318,2020 HOWELL MILL RD ATLANTA GA 30318,"2020 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.414450137138,33.810299594798,False,8,C,publix super markets inc #1119,,publix super markets inc #1119 
LGB-129706-2020,"THE FRESH MARKET, INC.",FRESH MARKET#84,Retail Trade,2025-02-20 23:05:53.150,424410.0,General Line Grocery Merchant Wholesalers ,,4405,ROSWELL,RD,NE,,ATLANTA,GA,30342,4405 ROSWELL RD ATLANTA GA 30342,"4405 Roswell Rd NE, Atlanta, Georgia, 30342",-84.379973273901,33.874161231273,False,7,B,"the fresh market, inc.",fresh market#84,"the fresh market, inc. fresh market#84"
