license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,company_name_clean,company_dba_clean,search_name
GBL-0121-01137,Sean's Candler Park,,Retail Trade,2025-02-16 18:41:03.713,445299.0,All Other Specialty Food Stores ,,1394,MCLENDON,AVE,NE,,Atlanta,GA,,1394 MCLENDON AVE Atlanta GA nan,"1394 McLendon Ave NE, Atlanta, Georgia, 30307",-84.341868387694,33.765008777271,False,2,N,sean's candler park,,sean's candler park 
GBL-0121-01137,Sean's Candler Park,,Retail Trade,2025-02-16 18:41:03.713,445299.0,All Other Specialty Food Stores ,,1394,MCLENDON,AVE,NE,,Atlanta,GA,,1394 MCLENDON AVE Atlanta GA nan,"1394 McLendon Ave NE, Atlanta, Georgia, 30307",-84.341868387694,33.765008777271,False,2,N,sean's candler park,,sean's candler park 
GBL-0121-01206,Lee Street Management,Hardy's BP,Other Services except Public Administration,2025-02-14 11:10:25.407,445120.0,Convenience Stores ,,516,Lee,ST,SW,,Atlanta,GA,30310,516 Lee ST Atlanta GA 30310,"516 Lee St SW, Atlanta, Georgia, 30310",-84.413715882419,33.740776108457,False,4,T,lee street management,hardy's bp,lee street management hardy's bp
GBL-0122-09519,Shree Laxmi Narayan Dev LLC,Gateway Newstand,Retail Trade,2025-02-11 22:04:55.063,445120.0,Convenience Stores ,,33,MARIETTA,ST,NW,,Atlanta,GA,,33 MARIETTA ST Atlanta GA nan,"33 Marietta St NW, Atlanta, Georgia, 30303",-84.390434727255,33.755170183142,False,2,M,shree laxmi narayan dev llc,gateway newstand,shree laxmi narayan dev llc gateway newstand
GBL-0123-18386,"Sami & Asmir, LLC",West View Food Mart,Retail Trade,2025-02-17 23:05:03.207,445120.0,Convenience Stores ,,2053 Martin Luther King Jr Drive SW Atlanta Georgia 30310,,,,,,,,2053 Martin Luther King Jr Drive SW Atlanta Georgia 30310 nan nan nan nan nan,"2053 Martin Luther King Jr Dr SW, Atlanta, Georgia, 30310",-84.453652968841,33.750310984324,True,10,I,"sami & asmir, llc",west view food mart,"sami & asmir, llc west view food mart"
GBL-0124-26500,Vine City Vending LLC,Vine City Food Mart,Accommodation and Food Services,2025-02-24 23:06:05.817,445120.0,Convenience Stores ,,901 Joseph E Boone NW Atlanta Georgia 30314,,,,,,,,901 Joseph E Boone NW Atlanta Georgia 30314 nan nan nan nan nan,"901 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.417081300363,33.763760292793,True,3,L,vine city vending llc,vine city food mart,vine city vending llc vine city food mart
GBL-0125-35421,Stone3034 Inc,BB Food Mart,Retail Trade,2025-02-13 00:23:48.000,445120.0,Convenience Stores ,,3034 Stone Hogan Conn,,,,,Atlanta,GA,30331,3034 Stone Hogan Conn nan nan Atlanta GA 30331,"3034 Stone Hogan Connector Rd SW, Atlanta, Georgia, 30331",-84.497059182001,33.672977235284,True,11,R,stone3034 inc,bb food mart,stone3034 inc bb food mart
GBL-0125-35934,FRIENDS CHOICE 2025 INC,CHOICE FOOD MART,Retail Trade,2025-02-12 15:02:00.000,445120.0,Convenience Stores ,,1575 JOSEPH E BOONE NW,,,,STE B,ATLANTA,GA,30318,1575 JOSEPH E BOONE NW nan nan ATLANTA GA 30318,"1575 Joseph E Boone Blvd NW, Atlanta, Georgia, 30318",-84.436576754973,33.763618900758,True,3,J,friends choice 2025 inc,choice food mart,friends choice 2025 inc choice food mart
GBL-0221-01420,Metro Food Mart,,Retail Trade,2025-02-12 13:08:14.883,445120.0,Convenience Stores ,,1341,METROPOLITAN,PKWY,SW,,Atlanta,GA,,1341 METROPOLITAN PKWY Atlanta GA nan,"1341 Metropolitan Pkwy SW, Atlanta, Georgia, 30310",-84.40811836366,33.718020330983,True,12,X,metro food mart,,metro food mart 
GBL-0222-09719,Pursue Goals LLC.,Pittsburgh Market,Retail Trade,2025-02-15 19:09:46.123,445120.0,Convenience Stores ,,543,ROCKWELL,ST,SW,,Atlanta,GA,,543 ROCKWELL ST Atlanta GA nan,"543 Rockwell St SW, Atlanta, Georgia, 30310",-84.405425677265,33.732072088743,True,12,V,pursue goals llc.,pittsburgh market,pursue goals llc. pittsburgh market
GBL-0222-09816,Discount Food Mart,,Retail Trade,2025-02-07 08:49:40.393,445120.0,Convenience Stores ,,2866,METROPOLITAN,PKWY,SW,,Atlanta,GA,,2866 METROPOLITAN PKWY Atlanta GA nan,"2866 Metropolitan Pkwy SW, Atlanta, Georgia, 30315",-84.408221712526,33.676549230552,True,12,X,discount food mart,,discount food mart 
GBL-0223-19087,Varuni Casa LLC,,Accommodation and Food Services,2025-02-11 17:22:23.063,445299.0,All Other Specialty Food Stores ,,1540 Monroe Dr. NE,,,,,Atlanta,GA,30324-5306,1540 Monroe Dr. NE nan nan Atlanta GA 30324-5306,"1540 Monroe Dr NE, Atlanta, Georgia, 30324",-84.368768094279,33.796557129266,False,6,F,varuni casa llc,,varuni casa llc 
GBL-0223-19245,Be Free Technologies LLC,,Retail Trade,2025-02-15 18:38:10.133,452319.0,All Other General Merchandise Stores ,,1234,ZIMMER,Drive,NE,,Atlanta,GA,,1234 ZIMMER Drive Atlanta GA nan,"1234 Zimmer Dr NE, Atlanta, Georgia, 30306",-84.346672475499,33.792826260344,False,6,F,be free technologies llc,,be free technologies llc 
GBL-0223-19426,Tecovas Inc,Tecovas,Retail Trade,2025-01-24 15:04:12.010,452319.0,All Other General Merchandise Stores ,,3400 Around Lenox,,RD,,Suite 200,Atlanta,GA,30326,3400 Around Lenox nan RD Atlanta GA 30326,"3400 Around Lenox Rd NE, Atlanta, Georgia, 30326",-84.365146944469,33.84638963912,False,7,B,tecovas inc,tecovas,tecovas inc tecovas
GBL-0224-28234,MM PRIME 1771 INC,VILLA FOOD MART,Retail Trade,2025-02-21 23:06:25.700,445120.0,Convenience Stores ,,1771,CENTRA VILLA,Drive,SW,,Atlanta,GA,,1771 CENTRA VILLA Drive Atlanta GA nan,"1771 Centra Villa Dr SW, Atlanta, Georgia, 30311",-84.456060251433,33.707513280077,True,11,R,mm prime 1771 inc,villa food mart,mm prime 1771 inc villa food mart
GBL-0225-36411,T Food and Gas,,Retail Trade,2025-02-24 13:08:00.000,445120.0,Convenience Stores ,,121,CLEVELAND,Avenue,SE,,Atlanta,GA,,121 CLEVELAND Avenue Atlanta GA nan,"121 Cleveland Ave, Atlanta, Georgia, 30315",-84.384710725576,33.680713066683,True,12,Z,t food and gas,,t food and gas 
GBL-0321-01663,"NIFTY NEIGHBOR, LLC",NIFTY NEIGHBOR,Retail Trade,2025-02-15 18:35:06.880,445120.0,Convenience Stores ,,250 PHARR ,,RD,,,ATLANTA,GA,30305,250 PHARR  nan RD ATLANTA GA 30305,"250 Pharr Rd NE, Atlanta, Georgia, 30305",-84.378655554903,33.837486213929,False,7,B,"nifty neighbor, llc",nifty neighbor,"nifty neighbor, llc nifty neighbor"
GBL-0322-10667,Lee Food Mart INC,,Retail Trade,2025-02-25 23:09:37.080,445120.0,Convenience Stores ,,"1193 Lee ST SW, Atlanta, GA 30310",,,,,,,,"1193 Lee ST SW, Atlanta, GA 30310 nan nan nan nan nan","1193 Lee St SW, Atlanta, Georgia, 30310",-84.423048880148,33.722610303072,True,4,S,lee food mart inc,,lee food mart inc 
GBL-0322-11270,MORELLI' ICE CREAM VAHI,morelli's ice cream,Retail Trade,2025-02-13 15:05:05.897,445299.0,All Other Specialty Food Stores ,,1002 north highland avenue NE,,,,,ATLANTA,GA,30306,1002 north highland avenue NE nan nan ATLANTA GA 30306,"1002 N Highland Ave NE, Atlanta, Georgia, 30306",-84.354469489471,33.781925259988,False,6,F,morelli' ice cream vahi,morelli's ice cream,morelli' ice cream vahi morelli's ice cream
GBL-0322-11708,CleanTrvlr LLC,,Retail Trade,2025-02-14 17:10:56.923,452319.0,All Other General Merchandise Stores ,,522 Bismark Rd NE,,,,,Atlanta,GA,30324,522 Bismark Rd NE nan nan Atlanta GA 30324,"522 Bismark Rd NE, Atlanta, Georgia, 30324",-84.365363365209,33.810597739094,False,6,F,cleantrvlr llc,,cleantrvlr llc 
GBL-0323-20010,"Simpson Business, Inc.",Shopper's Supermarket,Retail Trade,2025-02-11 13:09:25.970,445120.0,Convenience Stores ,,"735 Joseph E. Boone Blvd., NW",,,,,Atlanta,GA,30314,"735 Joseph E. Boone Blvd., NW nan nan Atlanta GA 30314","735 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.411495737895,33.763489575689,True,3,L,"simpson business, inc.",shopper's supermarket,"simpson business, inc. shopper's supermarket"
