license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu
LGB-110025-2020,TARGET CORPORATION,TARGET STORE T-1964,Retail Trade,2025-04-03 14:49:43,452319,All Other General Merchandise Stores,,1275,CAROLINE,ST,NE,,ATLANTA,GA,30307,1275 CAROLINE ST ATLANTA GA 30307,"1275 Caroline St NE, Atlanta, Georgia, 30307",-84.34610318,33.7567622,FALSE,District 5,O
LGB-129731-2020,TARGET CORPORATION,TARGET STORE T-2137,Retail Trade,2025-04-03 14:50:08,452319,All Other General Merchandise Stores,,375,18TH,ST,NW,,ATLANTA,GA,30363,375 18TH ST ATLANTA GA 30363,"375 18th St NW, Atlanta, Georgia, 30363",-84.39942197,33.79307998,FALSE,District 3,E
LGB-124164-2020,TARGET CORPORATION,TARGET STORE T-2171,Retail Trade,2025-04-03 14:50:39,452319,All Other General Merchandise Stores,,2539,PIEDMONT,RD,NE,,ATLANTA,GA,30324,2539 PIEDMONT RD ATLANTA GA 30324,"2539 Piedmont Rd NE, Atlanta, Georgia, 30324",-84.36346813,33.82452779,FALSE,District 6,B
GBL-0224-28147,Wal-Mart Stores East LP,Walmart #7601,Retail Trade,2025-04-29 14:54:15,452319,All Other General Merchandise Stores,,835 Martin Luther King Jr Drive NW,,,,,ATLANTA,GA,30314,835 Martin Luther King Jr Drive NW nan nan Atlanta GA 30314,"835 Martin Luther King Jr Dr NW, Atlanta, Georgia, 30314",-84.4135894,33.7558251,TRUE,District 3,L
LGB-078535-2020,TARGET STORES T-1197,,Retail Trade,2025-04-03 14:48:45,452319,All Other General Merchandise Stores,,3535,PEACHTREE,RD,NE,,ATLANTA,GA,30326,3535 PEACHTREE RD ATLANTA GA 30326,"3535 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.35977574,33.8510136,FALSE,District 7,B
GBL-0924-32958,"Tuxedo Wine & Spirits, LLC DBA Savi provisions",Savi Provisions,Retail Trade,2025-02-15 18:41:07,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),,3861,Roswell,RD,NE,Ste A,ATLANTA,GA,30342,3861 Roswell RD Atlanta GA 30342,"3861 Roswell Rd NE, Atlanta, Georgia, 30342",-84.37995886,33.8595851,FALSE,7,B
LGB-171185-2020,SAVI MIDTOWN 988 LLC,SAVI PROVISIONS,Retail Trade,2025-03-29 01:04:13,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,,988,PEACHTREE,ST,NE,,ATLANTA,GA,30309,988 PEACHTREE ST ATLANTA GA 30309,"988 Peachtree St NE, Atlanta, Georgia, 30309",-84.38430538,33.78098976,FALSE,District 2,E
GBL-1224-34642,"Wingman Hospitality, LLC",Bennett's Market and Deli,Retail Trade,2025-01-24 8:29:00,445299,All Other Specialty Food Stores,,891,CHEROKEE,Avenue,SE,,ATLANTA,GA,30315,891 CHEROKEE Avenue Atlanta GA 30315,"891 Cherokee Ave SE, Atlanta, Georgia, 30315",-84.37392632,33.73017317,FALSE,1,W
GBL-0525-40289,La Bodega at the Met Corp,La Bodega Market,Retail Trade,2025-07-21 5:31:00,445299,All Other Specialty Food Stores,,1975 SYLVAN,,RD,SW,,ATLANTA,GA,30310,1975 SYLVAN nan RD Atlanta GA 30310,"1975 Sylvan Rd SW, Atlanta, Georgia, 30310",-84.41899916,33.70063153,TRUE,District 12,X
GBL-0421-02202,Sai Shakti Provisions LLC,Savi Provisions,Accommodation and Food Services,2025-02-02 15:35:12,445299,All Other Specialty Food Stores ,NW,950 Marietta Street,"Ste. 4, Bldg B",,,,ATLANTA,GA,30318,"950 Marietta Street Ste. 4, Bldg B nan Atlanta GA 30318","950 W Marietta St NW, Suite B, Atlanta, Georgia, 30318",-84.41893898,33.78267301,FALSE,3,K
